,description,variety,expensive,sparkling,province
2827,"Just an edge of butter gives this wine roundness and extra richness. Along with this character comes ripe peach fruit, lifted with acidity. Ready to drink. Screwcap.",Chardonnay,0,0,Burgundy
1161,"A complex, ageworthy wine, this is powered by its tannins, its dark berry fruits and the layers of wood aging. It's rich and sweet, the fruit balancing the structure and given a fresh touch with black currant acidity. Drink from 2017.",Bordeaux-style_Red_Blend,0,0,Bordeaux
2418,"This is a bright, soft wine, rounded and finely balanced. The delicate apple- and pear-skin flavors bring out the acidity and lift the smooth texture.",Rosé,0,0,Provence
2264,"The nose offers moderate scents of thyme, rosemary and somewhat medicinal black cherry. More dark fruit unfolds on the round palate with soft tannins; cassis, plum and licorice all make an appearance and follow through to the finish.",Rhône-style_Red_Blend,0,0,Languedoc-Roussillon
8443,"Green plums, cinnamon and freshness all come together in this attractive, ready-to-drink white. Toast and white fruits all bring extra pleasure to the mix.",Chardonnay,0,0,Burgundy
1325,"Faiveley owns two acres of this large Grand Cru vineyard. This 2011 is a big, bold and fruity wine that shows red fruits, a sweet texture and good acidity. It's powerful and dark, jammy as well as structured. The wood flavors are still showing strongly and need to soften. Drink from 2019.",Pinot_Noir,1,0,Burgundy
1638,Crisp notes of freshly peeled pear mingle with a creamier aspect on the nose. The palate is a similarly appetizing and attractive mix of crisp freshness and creamy roundness. The body is very light but clean. The finish shines with fresh lemon.,Pinot_Blanc,0,0,Alsace
6713,"Well balanced with medium weight, this conjures up notes of honey, bergamot, lime pith and red apple. A tangy, medium-length finish brings it all together. Imported by Diageo Chateau & Estate Wines.",Riesling,1,0,Alsace
4031,"As fresh as it comes, this is crisp and clean rosé, ready for summer aperitifs. Bright red berries cut through a warmer texture and bring acidity with them. There's an attractive lively finish.",Rosé,1,0,Provence
3155,"A mature, beautifully balanced wine, with great fresh raspberry and red currant flavors. It is rich, dense, balancing toast, yeast and fresh fruit. With its dry edge, think of this as a food wine.",Champagne_Blend,1,1,Champagne
766,"A real evocation of fresh, crisp and crunchy apple delivers freshness and punch on the easy-drinking but fresh, clean and joyful palate. Drink this soon, if possible at a summer party where this slender wine will come into its refreshing own.",Riesling,0,0,Alsace
8527,"Sweet, rich, dense, very much of its year. At the same time, there is the Barton touch that leaves some fine elegance, to go with the smoky fruits and richness, while acidity gives it a fine lift.",Bordeaux-style_Red_Blend,1,0,Bordeaux
9153,"This soft wine shows  fresh, easy acidity and pineapple flavors. The wine opens fully in the mouth; it's like a sunburst of fruit and citrus, with just a touch of wood.",Chardonnay,1,0,Burgundy
1660,"Quite pale, this blend of Cabernet Sauvignon and Merlot is soft, fruity and ready to drink. Attractive red fruits and light acidity give a tangy, fresh aftertaste.",Rosé,0,0,Southwest_France
2072,"This is cool and restrained, with peppery flourishes layered over raspberry fruit. Rather than being massive or intense, it's medium bodied, perfumed and elegant, with hints of dusty tannins that build slowly on the finish. It's approachable now, but should age well through at least 2023.",Syrah,1,0,Rhône_Valley
395,"An elegant, poised wine that's bone dry, nervy and lightly fruity. The wine is balanced between its fresh acidity and ripe fruitiness. With its bright texture, it's a wine that needs food. Drink from 2016.",Riesling,0,0,Alsace
2145,"This attractive sunset-pink colored wine has light acidity along with its rich, structured fruit. This is as serious as rosé gets, with red plum and berry fruits supported by a concentrated texture and acidity. It could age, so drink towards the end of 2015.",Rosé,0,0,Provence
4157,"With considerable new wood flavors, this is a ripely opulent wine. It has weight, rich tannins, a smooth surface as its skims over the black fruits. The acidity, sweet black plum jelly, both give a warm, ripe character to the wine.",Bordeaux-style_Red_Blend,1,0,Bordeaux
1843,"Packed with tannins and boasting an enormous structure, this wine is opulent while very firm. At the same time, smoky acidity shoots through all this density. From a great terroir, this wine shows minerality and its great structure well. Drink from 2023.",Pinot_Noir,1,0,Burgundy
6852,"This is a fruity, ready-to-drink wine, with acidity cutting through the juicy black currant fruits. This is attractive and bright, yet structured.",Bordeaux-style_Red_Blend,0,0,Bordeaux
3807,"Originally planted by a Bordeaux grower, Vignelaure makes its top red from Cabernet Sauvignon with the addition of Grenache and Syrah. This now mature wine is a impressive, ripe and rich, with mushroom, spice and a juicy character. Drink now, or age for a few more years.",Red_Blend,1,0,Provence
4402,"Soft, rich wine, with definite vanilla flavors as well as attractive acidity. It's a food rosé, with its apple skin texture giving a tang. The finish is fresh, crisp and fruity.",Rosé,0,0,Provence
4218,"Rounded wine, soft in character, its creamy texture given a boost by apple and lime flavors. An easy wine that is full in the mouth while still seeming light.",Pinot_Blanc,0,0,Alsace
7071,"An attractively balanced wine, this shows fruitiness that's supported by fine tannins. It's a ripe wine, ready to drink now, with black currant juice and red plum flavors giving pleasure.",Bordeaux-style_Red_Blend,0,0,Bordeaux
6502,"Most everyone's first Bordeaux is back for another year, with fruity black-cherry aromas spiked with just a touch of vanilla and cedar. Juicy acidity keeps this crowd-pleaser lively through the lightly tannic finish. A good introduction to the genre.",Bordeaux-style_Red_Blend,0,0,Bordeaux
6726,"From the top Monts Damnés vineyard, this crisp light wine has yeasty flavors that hide the fresh grapefruit flavors. There is pleasant acidity at the back, along with some green apple skin. Will be ready by the beginning of 2008.",Sauvignon_Blanc,0,0,Loire_Valley
377,"There is something heady about this: a hint of chamomile tincture and pure lemon zest. The palate cuts in with uncompromising purity and zestiness—this really wants to showcase pure stone and tart citrus. There are glimpses, however, of plump ripe mirabelle plums and a touch of dried pear and quince. Nonetheless, this is governed by stern tanginess and thus is for real adults only. This is dry, slender and shows absolute focus. A celebration of stone and Riesling. Don't drink this now but wait: Drink 2020–2035.",Riesling,1,0,Alsace
336,This wine has great fruit with soft tannins and accessible soft black currant fruitiness. A slight earthiness at the end needs to become better integrated. Drink from 2017.,Bordeaux-style_Red_Blend,0,0,Bordeaux
9025,"Rich and ample, this is an impressive wine. The fruit and wood flavors work together to give a feeling of seriousness and great ageability. With its spice, toast notes and dark-hued structure, this will age well over the next five to 10 years.",Chardonnay,1,0,Burgundy
4394,"Soft, light and fruity, this wine is already approachable. It is an apple- and apricot-flavored Chardonnay, with just a tang of lemon zest that lends the finish some bite.",Chardonnay,0,0,Burgundy
5468,"Along with weight and richness, this wine also has a lively fresh, red fruit character. Caramel and ripe berries are shot through with acidity to give a warm, yet bright wine.",Rosé,1,0,Provence
6116,"From arguably the finest sweet wine vineyard in the Loire, here is a wine that is deceptively fresh on first taste. Then the huge richness kicks in, balanced with blood oranges, white fig and pear flavors, and a mineral character. Complex, this needs many years to develop; superb.",Chenin_Blanc,1,0,Loire_Valley
1203,"Cut with sulfur, this is a wine whose bitterness hides the potential of the strawberry fruits and acidity. Off-dry, it's unbalanced.",Rosé,0,0,Loire_Valley
8582,"Grassy and tobacco aromas combine with a palate that is lean and somewhat astringent, with red berry flavors and a smoky aftertaste. It is certainly suffering from the cool vintage.",Cabernet_Franc,0,0,Loire_Valley
1815,"Very buttery, this concentrated wine shows wood-aging flavors as well as full, tropical fruit. Rich and rounded, it conveys a fine dense texture. Drink from 2017.",Chardonnay,1,0,Burgundy
4122,"Round and fruity in character, this has initial freshness and ripe yellow-fruit flavors. On the finish, there is a tang of orange zest.",Chardonnay,1,0,Burgundy
448,"Recalling the time when Cahors was on the pilgrim route to Santiago in Spain, this wine is a solid, structured example of Malbec. Textured berry and black currant fruits are still developing alongside the dark, dry tannins. With the tannins and the final acidity, it needs to age. Drink from 2017.",Malbec,0,0,Southwest_France
8762,"A fresh, creamy style of Sauvignon Blanc, with tropical fruits combining with apple skins and leading to a ripe but crisp finish. A great apéritif.",Sauvignon_Blanc,0,0,Southwest_France
7193,"A balanced wine, showing the freshness of the vintage, this has a taut plum-skin texture and plenty of acidity. It has an edge of toast and spice and a stalky, smoky character.",Cabernet_Franc,1,0,Loire_Valley
3973,"This tight wine has red fruit acidity without the richness. With its green edge, it's likely to remain full of acidity even as it matures.",Pinot_Noir,1,0,Burgundy
3947,"A powerful, firm wine, very solid and rich. With red plum and blackberry fruits, dense tannins and a touch of wood aging, the wine shows considerable potential. It is already balanced but will benefit from at least six years' aging.",Bordeaux-style_Red_Blend,1,0,Bordeaux
8519,"This is a marvelously complete wine, with its impressive ripe fruit, shining through the open structure. It is firm, but not too much. Stone black fruits are just perfectly ripe. There is just a core of dryness to compliment the rest of the wine.",Bordeaux-style_Red_Blend,1,0,Bordeaux
6588,"A lovely, elegant example of Côte-Rôtie, with scents of violets and licorice accenting plum and blackberry fruit. Supple and easygoing, with a hint of tea on the finish. Drink now–2014.",Syrah,1,0,Rhône_Valley
1641,This earthy wine presents barnyard flavors over the riper red fruit and licorice flavors. Drink now when the fruit is at its best.,Pinot_Noir,0,0,Loire_Valley
935,"This wine is soft, lightly fruity and refreshing. Apple and ripe pear flavors contrast with the textured acidity. It's a balanced wine, full of fruitiness and ready to drink now.",Sauvignon_Blanc,0,0,Loire_Valley
3731,"This is an elegant, rich and round Volnay, with a red plum flavor and juicy acidity. With its fruitiness, this is already drinkable, although the tannic core does promise medium-term aging.",Pinot_Noir,1,0,Burgundy
7225,"Structured and fruity, this has plenty of minerality to pair with the crisp citrus flavor. The wood influence gives it extra depth, while the crispness is preserved by a final steely thrust. This structured wine should age for four years or more",Chardonnay,1,0,Burgundy
1210,"With its dominance of Cabernet Sauvignon, this is a structured, juicy and black currant-flavored wine from the northern Haut-Médoc. Firm tannins, licorice and spice flavors are cut by acidity. It needs medium-term aging, so drink from 2017.",Bordeaux-style_Red_Blend,0,0,Bordeaux
1263,"This wine is full of red-berry flavors with a dry, stalky background texture. It is light and is the style of wine that could be served slightly chilled. The aftertaste brings out crisp acidity. Drink from 2016.",Mondeuse,0,0,France_Other
1979,"Ripe and full of raspberries, this has a structure well cushioned by the ripe texture. The wine is packed with acidity while having a sense of floral, aromatic fruitiness. From four different parcels in premier cru, this seductive wine will also age well. Drink from 2018.",Pinot_Noir,1,0,Burgundy
6725,"Quite funky indeed. Saturated with spice such as anise, clove and rotting apples on the orchard floor, the earthy, full-bodied and slightly viscous nature of this beast is overwhelming. We're not quite sure if this one warrants the hefty price tag attached to it.",Riesling,1,0,Alsace
6824,"Big, dusty tannins dominate this rich and opulent wine. With black plum and juicy red berries, it is well balanced, the acidity cutting through to point up the richness. Very ready to drink, but it will age. Drink now and until 2020.",Bordeaux-style_Red_Blend,1,0,Bordeaux
2118,"Beaucastel's Côtes du Rhône is like a mini Châteauneuf-du-Pape in its blend of grapes and its sourcing, just outside that famous appellation. The 2009 is a very successful and flattering Coudoulet, with scents of garrigue and cherry followed by a palate that's round and lush without being at all heavy. Long and velvety on the finish.",Rhône-style_Red_Blend,1,0,Rhône_Valley
536,"The wood aging is still showing in this young wine that needs time. Dry, firm and toasty, it also has the light, fruity character of the 2013 vintage with raspberry, blueberry and acidity that's still too intense. Drink from 2016.",Bordeaux-style_Red_Blend,0,0,Bordeaux
3104,"There is a layer of tannins here that impart a dry edge to what is otherwise sweetly fruity wine. It is full and juicy, with strawberry fruit flavors.",Gamay,0,0,Beaujolais
2525,"This négociant operation has greatly expanded its offerings in recent years, and this blend of 60% Grenache, 30% Syrah and 10% Mourvèdre is reasonably successful. Cherry and dried herb notes are framed by dry cedar accents before picking up olive and coffee nuances on the finish. Drink now and over the next two years.",Rhône-style_Red_Blend,0,0,Rhône_Valley
1418,"Despite the moderate alcohol, this is a rich wine in every way. It has generous fruits—tangerine and bitter-orange marmalade. It's layered with minerality and needs to age. Drink from 2017.",Gewürztraminer,1,0,Alsace
3325,"This firm, tannic wine is made from fruit sourced from a vineyard in the heart of Morey-Saint-Denis. It's a solid selection, and it has enormous potential. The ripe black-cherry and plum flavors are dominated by the tannins. Concentrated, this is ready for long-term aging.",Pinot_Noir,1,0,Burgundy
7380,"This shows Savigny's softness and approachability, along with tannins and acids. It is firmly concentrated, creating a wine that feels complete, juicy and rich.",Pinot_Noir,1,0,Burgundy
8274,"A full-bodied wine that shows some warm-vintage effects in its aromas and flavors of stewed prunes, mocha, leather and chocolate. It's mouthfilling and a bit warm on the finish. Drink now–2017.",Rhône-style_Red_Blend,1,0,Rhône_Valley
3103,"Bright red cherry fruits, fresh and light with fruit acidity and the minimum of tannins.",Gamay,0,0,Beaujolais
7698,"Full and rich, packed with green plum, pear and lime zest flavors, this is a generous wine, its broad fruit offering both freshness and richness. There is a great final balance between toast and fruit.",Chardonnay,1,0,Burgundy
3772,"This is a pure and herbaceous Sauvignon Blanc. Crisp, citrus driven and refreshing, it has a clean character and a delicious zesty texture that acidity to the fruitiness. Screwcap.",Sauvignon_Blanc,0,0,Southwest_France
259,"One of the many chateaus with vines on the wide valley floor of the Dordogne, this estate has made a lightly extracted wine that has chocolate as well as blackberry stalkiness. There's freshness as well, with fruit acidity that cuts through the mineral texture. Drink from 2018.",Bordeaux-style_Red_Blend,0,0,Bordeaux
4310,"Classic spice and lychee aromas lead to a wine that is medium sweet, attractive but one-dimensional. It has perfumed, candy shop flavors, almost exaggerated. Screwcap.",Gewürztraminer,0,0,Alsace
7660,"This is a lightweight wine with fruit that tastes overripe. It has a soft, fruity texture, and its gentle tannins are touched by acidity.",Bordeaux-style_Red_Blend,0,0,Bordeaux
2188,"Slightly herbal in character—not surprising given that it's 70% Cabernet Franc, an unusual variety for the Gard. Those leafy notes persist from start to finish, balanced out hints of peach and raspberry. Easy to drink.",Rosé,0,0,Rhône_Valley
5401,"Ripe and soft, here is a Chanson white that hasn't been overwhelmed by wood. Instead, the delicious yellow and white stone fruits come through, with a creamy edge reminiscent of buttered English muffins, finishing on a high note of juicy, thirst-quenching acidity.",Chardonnay,1,0,Burgundy
6592,"Young, very fruity with green plum and currant flavors, this still has a yeasty quality from the lees. Drink in 2008; it's going to be deliciously fruity and fresh, with great ripe fruit.",Sauvignon_Blanc,0,0,Loire_Valley
3450,"This rich, structured wine is packed with both firm tannins and rich red fruits. Still young, it has all the makings of a dense, balanced wine that will reflect the great fruit of the vintage. Age this smoky, full-bodied wine and drink from 2017.",Cabernet_Franc,0,0,Loire_Valley
5759,"A crisp, grassy, pure Sauvignon Blanc, which is fresh, acidic and offers great grapefruit flavors. There's a lightness that balances the fine depth of flavor from this leading Blaye property.",Bordeaux-style_White_Blend,0,0,Bordeaux
1028,"Just a hint of pear peel rises from the nose. The palate is rich with glowing pear fruit, even a little warm, but utterly precise. All this is met with a vein of lemon freshness that brightens all the apples and pears. There is concentration and juiciness, concentration and purity. There is something very fluid and utterly moreish about this.",Chardonnay,1,0,Alsace
6752,"Soft, dusty tannins balance a wine that is full of the ripest fruit. It has power, but gentle power, with rounded corners and a texture that is dense, never hard. The fruits are ripe plums, perhaps lacking final freshness.",Bordeaux-style_Red_Blend,1,0,Bordeaux
2715,"An easily accessible, easy-drinking style of Crozes-Hermitage, Ferraton's 2007 La Matinière displays a lovely balance between clean red fruit (cherries, raspberries), baking spices, cracked pepper and a faintly herbal tinge. Drink it now and over the next few years.",Syrah,0,0,Rhône_Valley
1310,"This rounded wine is still tight and closed. The texture shows strongly at the moment, but will soften to bring out the crisp fruits and perfumed acidity. A rustic edge needs to blow away as the wine matures. Drink from 2017.",Sauvignon_Blanc,1,0,Loire_Valley
331,"Barley sugar, butterscotch, demerara sugar and the faintest hint of maple syrup suggest the richness of this SGN right away. The concentrated sweetness is countered with illuminating freshness and holds tons of tangy spice. Wow. This is incredibly concentrated and has an elixir-like bundled energy that seems to be alive. The effect is both mesmerizing and invigorating.",Pinot_Gris,1,0,Alsace
9292,"This has weight and some rich fruit. On top of this are ripe tannins, bananas and black cherry flavors. The acidity is present but balanced.",Gamay,0,0,Beaujolais
7915,"Soft and smooth, showing almonds, a touch of toast, the fruit calm, showing slowly in the riper texture of the wine. Acidity comes through as a final bite.",Riesling,0,0,Alsace
2750,"Wines from Plan de Dieu are rarely seen in the U.S., but this is an attractive offering from the Quiot family's holdings in that region. It's dark in profile, with aromas and flavors that veer from black cherry toward black olive and coffee. It's medium bodied, with some fine, slightly dusty tannins on the finish. Drink it over the next few years.",Rhône-style_Red_Blend,0,0,Rhône_Valley
8610,"A big, burly rich wine, dominated by Syrah and by wood tannins. It is fruity, full of black plums and boysenberries, low in acidity, but structured with some good tannins. It's a wine to drink now.",Rhône-style_Red_Blend,0,0,Languedoc-Roussillon
4166,"Muddled blackberry, black cherry and boysenberry are the initial aromas on the nose of this wine, with supporting notes of sweet spice, toasted oak, crushed lavender and bay leaf. The palate is plush and juicy, with ripe fruit flavors that are framed by accents of licorice, toasted peppercorn and mocha. Drink now–2018.",Grenache-Carignan,0,0,Languedoc-Roussillon
6140,"One of a range of three single-vineyard dry wines from Jo Pithon, this is the firmest, needing long aging as the Chenin develops its secondary flavors. For the moment, it's very dry and closed down, with green fruits, but dominated by structure. Wait 5 years.",Chenin_Blanc,1,0,Loire_Valley
8507,"Wood dominates both the aroma and the flavor of this wine. It's good wood, giving vanilla and smooth textures. It has softened the fruit, the fresh berry flavors sitting on a soft cushion of dusty tannins. It needs 2–3 years.",Malbec,0,0,Southwest_France
2535,"This blend of 80% Grenache, 10% Syrah and 10% Mourvèdre is plump and charming, filled with cherry fruit and just a hint of spice. It's clean and correct, a fine option for everyday drinking.",Rhône-style_Red_Blend,0,0,Rhône_Valley
3690,"Dominated by tannins, this is a firm, solid and chunky wine. Black plum skins, juicy blackberries are layered over a dry, dark core. There is a hint of the 12 months' wood aging, but the wine is more about the rich fruit. Drink from 2014.",Bordeaux-style_Red_Blend,1,0,Southwest_France
595,"This is a simple, fruity wine without great tannic structure. It has attractive berry fruits and a dry core. With its fresh acidity, it will be ready to drink soon.",Bordeaux-style_Red_Blend,0,0,Bordeaux
6168,"Straddling richness and beautiful liveliness, this is going to be an impressive wine. It does need aging. At this stage, the wood is a big element, but then the bright white fruits—pears, white currants along with tangerines—will move center stage. Keep at least six years, almost certainly more.",Chardonnay,1,0,Burgundy
4849,Simply fruity Bordeaux. It has signs of wood and black currant fruit along with acidity and a light layer of tannin. Drink now.,Bordeaux-style_Red_Blend,0,0,Bordeaux
9856,"On the earthy side, with aromas of damp wood and toast that far outweigh the modest blackberry fruit. It's medium weight, with a tart finish.",Syrah,0,0,Languedoc-Roussillon
2174,"A rich, yet finely structured wine, this is full of acidity and bright green and yellow fruits. It's delicious, mouth-filling and refreshing, touched by notes of wood and citrus, with a smooth, toasty finish.",Chardonnay,1,0,Burgundy
4794,"Soft, fruity wine, very smooth, its pear and green plum flavors integrated into acidity along with a light touch of sweetness. Ready to drink.",Bordeaux-style_White_Blend,0,0,Bordeaux
8135,This is a full-bodied rosé with soft red berry and tart cherry flavors intertwined with notes of white chocolate. The finish could last a bit longer. Drink up.,Rosé,0,0,Languedoc-Roussillon
7377,"Made from grapes sourced from vines that were planted in 1955, this is ripe and rich. The fruit is still reticent, but it will develop into a concentrated, full-bodied wine. Its density is balanced by a firm, minerally structure. Age this for 2–3 years.",Chardonnay,1,0,Burgundy
1649,"Steely and mineral, this wine is as crisp and chalky-textured as possible. It is tight, with nervy acidity as well as touches of wood. A more buttery, rounded character is just beginning to show through to fill out the texture.",Chardonnay,1,0,Burgundy
3042,"Pure black berry juice, ripe and solid, this is a chunky, fresh wine. The wood edge is a major factor; there is a final stalky, mineral element. Drink now.",Malbec,0,0,Southwest_France
1950,"This medium-weight 50-50 blend of Syrah and Grenache is pretty typical of the appellation, but much better than average in quality. Bold black cherry notes are balanced by hints of dark chocolate and a silky texture lingers on the mouthwatering finish. Drink now–2018.",Syrah-Grenache,0,0,Rhône_Valley
24,"The smoky aroma and toasty wood character smothers the fruit. It is a tough wine at this stage although it does hint at some of the 2012 juicy fruit flavors. Drink this firm, solid wine from 2018.",Bordeaux-style_Red_Blend,0,0,Bordeaux
6354,"A lively, impressively fresh Aligoté, packed with green and citrus fruits, bubbling with bright vivacity.",Aligoté,0,0,Burgundy
9158,"A fresh, light, crisp wine with some good mineral overtones layered with toast. While it doesn't have great complexity, this is an attractive, citrusy wine that's ready to drink now.",Chardonnay,1,0,Burgundy
3823,"This is full of ripe raspberry flavor that is cut with lively acidity. It is a delicious, fruity, apéritif-style rosé with just a touch of zesty texture to tighten it up.",Champagne_Blend,1,1,Champagne
2036,The wine with its hint of herbal fruit and delicious lightly perfumed character is one to drink young. There is a crisp edge although the main part of this wine is its fruitiness and floral character. Drink now.,Bordeaux-style_White_Blend,0,0,Southwest_France
2044,"Very young, fruity wine. The tannins are already soft and there is stalky black currant acidity that gives the wine a bright freshness. It has no wood and will develop fast.",Bordeaux-style_Red_Blend,0,0,Bordeaux
2014,"Very pure notes of freshly cut, tart but ripe apples fill the nose, but there is also a slight perfume of fir forest and lemon zest. The palate is ripe and shows a dry but nonetheless lusciously ripe core, all straightened and brightened by fresh, lemony acidity. This has both balance and drama and is a joy to drink.",Riesling,1,0,Alsace
836,"With attractive juiciness, this ripe wine has plenty of room for both tannins and black fruits. It is fruity, acidity topping the berry flavors and bringing in toast and final spice. Heather van Ekris, owner of this estate that began as a Middle Ages convent, brought in Hubert de Brouard of Château Angelus in Saint-Émilion as consultant beginning with this vintage. Drink from 2017.",Bordeaux-style_Red_Blend,0,0,Bordeaux
6437,"Explosively rich and unctuous, this verges on being fat and overblown, then takes a few mincing steps back from the edge. Grilled apricot and peach flavors coat the palate, coming to a climax on the long, oily, fruit-filled   finish.",Marsanne,1,0,Rhône_Valley
4917,"From the Picard family-owned château of Chassagne-Montrachet, this wine has some dusty, sweet tannins that go well with the red berry and plum flavors. With the freshening acidity, this is a densely textured wine that will develop well.",Pinot_Noir,1,0,Burgundy
3635,"The wine shows the power typical of a Lafite but within the context of the fruity 2011 vintage. The immensely dense tannic structure gives the wine a solid feel that is lifted by so much ripe black currant and berry fruits. At the back, the wine has a more brooding, dark character that suggests great aging potential. Drink this wine from 2019.",Bordeaux-style_Red_Blend,1,0,Bordeaux
8075,"Fresh apple, green grass, dandelion and a touch of soft smoke emanate from the glass, transitioning to flavors of gingered peach and spicy orange on the palate. Medium weight and well structured with nice complexity and evolution. Drink now.",Chardonnay,0,0,Languedoc-Roussillon
4780,"A blend of Braucol and Tannat, this a dark-colored blockbuster, with firm tannins that are mitigated by the smooth, rich blackberry flavor. It has power, immense concentration and great density. Age for 3–4 years.",Red_Blend,1,0,Southwest_France
1986,"With the right intensity for a premier cru, this is a rich, lightly toasty wine. It has layers of chalky, mineral texture along with dense fruits and a sense of structure and potential. Drink from 2017.",Chardonnay,1,0,Burgundy
8393,"Light, fresh, soft and already very drinkable. The initial taste is dominated by citrus, and then it rounds out, adding toast, green fruits and a definite sophistication for a simple white Burgundy.",Chardonnay,1,0,Burgundy
9070,"Producing some of the more refined wines of Meursault, Charmes also has the right amount of opulence. Louis Latour's wine brings out all the richness and ripeness; soft, generous and full-bodied and leavened with spicy wood flavors.",Chardonnay,1,0,Burgundy
386,"Fresh and fruity, this has light tannins and a stalky black currant character that will produce a smooth and juicy wine as it ages. Drink from 2017.",Bordeaux-style_Red_Blend,0,0,Bordeaux
7029,"This is a beautiful, full rosé that is rich and shows a fine balance between acidity and fruitiness. This bottling is also mature with toastiness coming through, giving a softer, rounder character. There is weight, and great acidity on the finish.",Champagne_Blend,1,1,Champagne
9873,"It is rare to find a white wine from Saint-Emilion, so this is at least a curiosity. But it is also a wonderful, rich wine, with creamy, toasty flavors and ripe white fruits. It's fresh and ripe, and finishes with its spicy notes.",Bordeaux-style_White_Blend,1,0,Bordeaux
384,"While this wine has plenty of ripe fruit, it also has a smoky character from the wood aging. Red berry fruits give a fresh feel, balanced already with the soft tannins. It's going to develop quickly, so drink from 2016.",Bordeaux-style_Red_Blend,0,0,Bordeaux
3939,"A delicious shot of citrusy acidity makes this a wine of great freshness. At the same time, the wood-derived flavors add some richness and a spice note. Let this intense effort age for another couple of years.",Chardonnay,1,0,Burgundy
3864,"Soft and fruity with some sweetness, this red-fruit-flavored wine is rounded and warm, crispened by acidity.",Pinot_Noir,0,0,France_Other
3092,"Although the aromas are toasty, the flavors are still so fresh, rich, complex. This is a wonderful expression of taut minerality, pure citrus zest and then a wood-toast character that gives the wine both richness and sophistication. Given the fresh, intense fruit, this will certainly age for many years.",Champagne_Blend,1,1,Champagne
6747,"A dense, elegant wine, the berry fruits full of juice and fresh plums. The layer of tannins is firm, a clenched fist in the heart of the softer, riper fruit flavors. There is final fruit gum acidity.",Bordeaux-style_Red_Blend,0,0,Bordeaux
9673,"Citrus rind and pickle aromas raise your eyebrows, but below the surface it runs rather smoothly. Basic green melon and peach flavors are round but not that rich, while the finish is broad and mostly satisfying. Imported by Michael Skurnik Wines.",Sauvignon_Blanc,0,0,Loire_Valley
8823,"The wood aging gives this wine a smooth, velvet texture, the toast lying easily over the fresh fruit that is hallmark of Renaud wines. It is finely balanced, a lively wine that has been rounded out well by the wood.",Chardonnay,0,0,Burgundy
1442,"A ripe full-bodied wine that has great structure and fine tannins. The bold red fruits are right to the front. It is a wine with great potential, generous tannins and the acidity of the vintage beautifully balanced. This wine will develop well. Drink from 2024.",Bordeaux-style_Red_Blend,0,0,Bordeaux
7946,"Here's a mineral-driven red with strong notes of black cherry and plum throughout the nose and mouth and a touch of dark chocolate on the close. Medium weight with firm tannins and medium acidity; 50% Cabernet Sauvignon, 40% Syrah and 10% Petit Verdot.",Red_Blend,0,0,Languedoc-Roussillon
4838,"Named after a Roman centurion rather than a god of love, Saint-Amour produces structured Beaujolais. With its solid tannins and firm structure, this wine proves the point. It is concentrated, with acids and minerally red fruits dominating at the moment. It needs to age for 1–2 years.",Gamay,0,0,Beaujolais
7035,"Rich and full bodied, this wine includes flavors of black plum and blackberry. It is dense and firmly tannic, with the wood aging still evident. A strong coffee flavor is a powerful component of this solid, tannic wine.",Bordeaux-style_Red_Blend,1,0,Bordeaux
6302,"A mature, soft wine, with good acidity and a fine, toasty character. It has good bottle age and a creamy, almond-flavored character. A delicious wine, just showing its origin by being richer than many Champagnes.",Champagne_Blend,0,1,Burgundy
7590,"This has a tight, severe character, with black currant fruit and a touch of green bell pepper. It's stalky and structured, with a lean feeling.",Bordeaux-style_Red_Blend,0,0,Bordeaux
5760,"One of the most familiar Entre-deux-Mers chateaus, and certainly the largest, this is the home of master vigneron André Lurton. With its fresh, grapefruit flavors and aromas of white flowers and hedgerows, this is a great summer wine.",Bordeaux-style_White_Blend,0,0,Bordeaux
3299,"This wine is lively and fruity, with a warm character from the ripe, wild-strawberry flavors. It is crisp, dry and deliciously refreshing at the end.",Rosé,0,0,Bordeaux
1351,"This is an intensely spicy wine, full of lychee and peppered pineapple flavors. It's rich, also showing a strong mineral texture. Medium sweet in style, it is packed with ripe fruit with a touch of honey. The aftertaste shows a fresher side. Drink from 2016.",Pinot_Gris,1,0,Alsace
2894,"A wine with some character, almonds and green herbs broadening out the bright and crisp acidity. This has freshness but also weight.",Bordeaux-style_White_Blend,0,0,Bordeaux
6865,"Dark in color, this is a concentrated wine that's very firm in structure, with dense tannins. It's powered by ripe, mature black fruits as well as acids that cut through the dry texture. This needs several years of aging.",Bordeaux-style_Red_Blend,1,0,Bordeaux
3933,"There is an earthy, rustic quality about this wine. The dry tannins are initially hard with chocolate flavors overshadowing the fruit. That gives a wine that needs time to open up and will always be on the dry, firm side. Drink from 2015.",Malbec,0,0,Southwest_France
10010,"Scents of dried apricots and candied citrus leap from the glass, followed by flavors of honey, pear and melon. This is slightly sweet, with a robust 13% alcohol that gives it heft on the palate. Try with rich appetizers or with the cheese course.",Riesling,1,0,Alsace
3317,"A strongly herbal, garrigue character dominates the overall personality of this wine, but is supported by ample black plum and cherry notes to keep it from being overly earthy or green. Firm, slightly astringent tannins coat the palate and remain well into the finish.",Rhône-style_Red_Blend,1,0,Languedoc-Roussillon
3447,"Rich, almost sweet in its ripe fruit, this Madiran has been made to drink early. It is full of generous black fruits, full-bodied with tannins that are rounded and warm. A streak of acidity keeps it fresh. Drink this fruity wine now.",Tannat-Cabernet,0,0,Southwest_France
